"ens_gene","target_id","pval","qval","b","se_b","mean_obs","var_obs","tech_var","sigma_sq","smooth_sigma_sq","final_sigma_sq","D0_PF_1","D0_PF_2","D7_PF_1","D7_PF_2"
"ENSMUSG00000038418","Egr1",0,0,-1.87601365951593,0.0473487776195346,8.48271545593378,1.17397413803553,0.000420811850577941,0.000826769857534433,0.0018210948914862,0.0018210948914862,12166.4342935273,12518.0562685919,1952.32014660594,1830.078683879
"ENSMUSG00000016995","Matn4",0,0,5.30511303258611,0.0885078805611193,6.84975158259891,9.3839869830909,0.0048737524302248,-0.00100542205138665,0.00295989249119655,0.00295989249119655,70.0205536799113,62.2078051363317,13667.8769879689,13117.9642710373
"ENSMUSG00000026051","1500015O10Rik",0,0,4.69155237344696,0.0890259570872103,7.29072947445209,7.34217163828879,0.00334753897512307,0.00457808206017073,0.00247539521418081,0.00457808206017073,149.199824656414,131.298528232381,16296.2344657681,14389.5359069649
"ENSMUSG00000112023","Lilr4b",0,0,3.15990273724915,0.0829159237699685,7.21497679952477,3.33291180323464,0.00344139443514035,0.00343365597948689,0.00254478270558552,0.00343365597948689,279.450191901321,279.681935140874,6074.96176846025,7170.80596317172
"ENSMUSG00000060572","Mfap2",0,0,2.76914387377861,0.0642928793622711,7.3067715388326,2.5582150803506,0.00167252404812618,0.00157119963497759,0.00246105028856536,0.00246105028856536,382.265373477346,363.4356274418,6262.45623569199,5654.4093406
"ENSMUSG00000000402","Egfl6",0,0,4.39878133351493,0.104847285283302,7.78502469799274,6.45708770884731,0.00176796144785435,0.00922499178342384,0.00212393870666651,0.00922499178342384,294.691852245438,240.22195913127,22218.8672839005,21164.6479190864
"ENSMUSG00000027996","Sfrp2",0,0,4.04321804378303,0.101146287486586,8.29977353389782,5.45602443083911,0.000340174046430396,0.0098903974258888,0.00188614629485038,0.0098903974258888,581.771305346098,487.049841658687,31883.5270728475,28937.3199376088
"ENSMUSG00000037664","Cdkn1c",0,0,4.55539011019925,0.0921538434953922,6.45085756500796,6.92250736694872,0.00487744120635361,0.00309408116617375,0.00361488966461963,0.00361488966461963,62.3464315172566,66.5628918989583,6711.97555911517,5683.33887957178
"ENSMUSG00000022032","Scara5",0,0,3.67806915954354,0.0869239922553824,6.37115286700129,4.51058716349014,0.00377283190902807,-0.00198845786648706,0.00378294852058572,0.00378294852058572,93.6734363806921,91.2528385523373,3828.55276905945,3532.8515982799
"ENSMUSG00000037206","Islr",0,0,2.14220167410797,0.0476169508996418,8.38479531509411,1.52996514653691,0.000412800557700473,2.09129721748894e-05,0.00185457345527843,0.00185457345527843,1486.41403321431,1514.1366035402,13023.6645270981,12546.4210967456
"ENSMUSG00000022371","Col14a1",0,0,4.04764535352521,0.08574680697432,7.20642616034836,5.46347569019889,0.00479969147776673,-0.00130261013654585,0.00255282342852456,0.00255282342852456,176.566372388804,178.732226479879,10818.6360218651,9617.83041549283
"ENSMUSG00000001131","Timp1",0,0,-1.70793876120596,0.0428414388196504,9.16541087514954,0.972984469955164,0.000169314105491433,0.000779984812373189,0.00166607477464641,0.00166607477464641,21973.1125088543,22951.5590512721,4159.33929587702,3981.94514382413
"ENSMUSG00000061232","H2-K1",0,0,2.25991139502329,0.0467005022965679,8.13374549676455,1.7028322945201,0.000226126183471656,0.000422558918635544,0.00195481073128009,0.00195481073128009,1125.93636672164,1075.24134681755,10433.3720686456,10663.0820241204
"ENSMUSG00000018339","Gpx3",0,0,2.27730788644945,0.0477306954868823,7.97196652729123,1.7302292160894,0.000235759996786955,0.00204245929487453,0.0020298768569791,0.00204245929487453,970.267602250948,887.114979261146,8901.96769603174,9201.32538276757
"ENSMUSG00000027322","Siglec1",0,0,5.42106708151798,0.142985933138527,6.67786022473608,9.80961941882297,0.00841597890797208,0.0120289981675232,0.00321705874438579,0.0120289981675232,55.2115416890349,49.6223006012018,10461.8431338474,13646.1562807153
"ENSMUSG00000027408","Cpxm1",0,0,2.62358488560109,0.0550465327048335,7.67032809616559,2.29484440995269,0.000841251709026175,-0.000173462757251045,0.00218886905379812,0.00218886905379812,568.776425536474,585.139950142685,8132.87326758251,7788.82936064198
"ENSMUSG00000027239","Mdk",0,0,2.622476017609,0.0606042771779902,7.49575081947605,2.29310384138497,0.00136828786974018,-0.000402757259460009,0.00230459054252648,0.00230459054252648,488.432455871733,480.949463074755,6884.42628248564,6482.17136726021
"ENSMUSG00000004473","Clec11a",0,0,2.29194861656694,0.0551910495712333,8.47260137389411,1.75304018829622,0.000273549097014766,0.00277250285575957,0.00182441280262444,0.00277250285575957,1509.97412905287,1529.57993473635,15888.6021417217,14238.822563301
"ENSMUSG00000040010","Slc7a5",0,0,-2.27294021025472,0.0601239081303695,6.63111383821529,1.72276856540243,0.000323118161207406,0.000701130246040475,0.0032917661676617,0.0032917661676617,2335.30779703874,2389.51476991493,250.266260260416,235.720619074471
"ENSMUSG00000037362","Nov",4.05687811246892e-307,3.2114247138304e-304,1.70119768215222,0.045413142561213,8.84831628657178,0.966066086931558,0.000244793213098067,0.00181756030418699,0.00172176432911178,0.00181756030418699,2885.1291394403,3064.91016997922,15756.1216364066,16861.4397952223
"ENSMUSG00000072620","Slfn2",8.33872354468464e-302,6.28660338854511e-299,3.54686680965989,0.0955186837933244,6.26138380801429,4.1978408115466,0.00507659354971662,0.00155254103673244,0.00404722540389247,0.00404722540389247,83.2747132901285,93.9215749399512,2920.2133859535,3261.35473602105
"ENSMUSG00000036596","Cpz",4.51195518861627e-292,3.24696702482604e-289,2.87399655058414,0.0786865760170076,6.54482113905014,2.75438420658436,0.00275325190495275,-0.00110502841317694,0.00343832534032756,0.00343832534032756,171.622107745774,158.267612075716,2939.04962262431,2914.50603663715
"ENSMUSG00000021508","Cxcl14",2.08215752008667e-290,1.43324860252227e-287,-1.82461242743122,0.0500997009176422,8.2606395099977,1.11141015680017,0.000304045086716962,0.00220593494532024,0.00190148252758215,0.00220593494532024,9680.59997274707,9584.5573624073,1477.55487450466,1632.51677301192
"ENSMUSG00000024338","Psmb8",2.81646447720511e-284,1.85792773346297e-281,2.59867793725447,0.072124987274689,7.40971396719496,2.25150305517544,0.00283037585410322,-0.00213930387751876,0.00237163793527083,0.00237163793527083,440.981462134517,459.218325630501,5956.22600208682,6159.48481255438
"ENSMUSG00000062593","Lilrb4a",1.76632036110979e-281,1.11857535828361e-278,2.87085269703478,0.0800770610114352,7.63308576803415,2.75153995982411,0.00114851254078549,0.00526382315944362,0.00221162475739123,0.00526382315944362,480.001107740667,502.449267531247,8036.07604505559,9369.47612008604
"ENSMUSG00000112148","Lilrb4a",1.76632036110979e-281,1.11857535828361e-278,2.87085269703478,0.0800770610114352,7.63308576803415,2.75153995982411,0.00114851254078549,0.00526382315944362,0.00221162475739123,0.00526382315944362,480.001107740667,502.449267531247,8036.07604505559,9369.47612008604
"ENSMUSG00000022103","Gfra2",1.43382161569441e-280,8.73087069987456e-278,3.4614324489428,0.0967077406422991,6.17801611519047,3.99427560530655,0.00508269996484509,-0.00442659130210065,0.00426968713529309,0.00426968713529309,85.8510497705424,83.9516194716399,2783.95319568081,2658.37368473174
"ENSMUSG00000016494","Cd34",1.6083084018573e-268,9.43064393266843e-266,2.25452463483345,0.0643973605277831,6.94703420740205,1.69468864295982,0.00131645059264946,-0.000724150688356165,0.00283056945029581,0.00283056945029581,337.843753639602,334.95283949344,3134.36219105066,3288.21620293884
"ENSMUSG00000021453","Gadd45g",6.20993098048962e-264,3.51127240296828e-261,-1.78049616057627,0.0513009997263865,7.88511663514977,1.05783318851183,0.00055957423412644,0.00110691962019851,0.00207221833880027,0.00207221833880027,6350.32604975122,6596.6252231449,1130.64678984289,1051.81718485445
